title,rating,calories,protein,fat,sodium,apple,beef,bread,carrot,chicken,egg,cheese,leafy green,mango,milk,onion,potato,rice,tomato,Time
Chili and Honey Chicken Legs ,3.75,698,52,50,959,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75
Blueberry Cheesecake ,5,954,14,66,767,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.58
3-Ingredient Peanut Butter Cookies ,5,100,3,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.58
Eggnog Ice Cream ,5,205,3,13,84,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.5
Microwave Chicken Piccata ,1.25,1307,145,75,1456,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2
Mango Coconut Ice Cream ,5,240,3,13,33,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.5
Grilled Brined Chicken with Chimichurri Sauce ,5,1511,96,118,3097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5
Broiled Mustard Chicken Wings ,4.375,782,62,56,550,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75
"Beef Tenderloin with Red Wine Sauce, Creamed Spinach, and Truffled French Fries ",5,703,37,43,422,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.25
Char-Grilled Beef Tenderloin with Three-Herb Chimichurri ,4.375,745,41,60,1146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.25
Steak Salad with Pickled Vegetables ,4.375,682,47,50,150,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.75
Beef Tenderloin Steaks with Chili Sauce ,4.375,708,38,52,340,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.25
Roast Beef Sandwiches with Lemon-Basil Mayonnaise and Roasted Red Onions ,4.375,795,22,55,290,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1.5
Korean Barbecued Beef ,4.375,60,5,2,137,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.5
Veal Meatballs with Braised Vegetables ,3.75,636,31,41,1774,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Thai-Style Beef and Asparagus Curry ,3.125,555,26,49,84,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.5
Chunky Beef and Vegetable Soup ,3.125,372,44,11,798,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.75
Grass-Fed Beef Meatloaf in a Bacon Blanket ,3.125,880,55,62,1487,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.17
Chicken Curry with Sweet Potatoes ,5,591,54,21,1735,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0.5
"Braised Rotisserie Chicken With Bacon, Tomatoes, and Kale ",5,370,20,29,502,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5
Tropical Chicken Salad ,4.375,644,41,40,150,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.5
"Country Bread Stuffing with Smoked Ham, Goat Cheese, and Dried Cherries ",4.375,425,18,24,706,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.25
"Roasted Chicken, Ramps, and Potatoes ",4.375,462,26,27,200,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
Chicken and Apple Curry ,3.75,295,17,16,458,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5
Roasted Chicken Breast and Vegetables with Prunes ,3.75,361,22,15,127,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.75
Roast Chicken with Mushroom Stuffing and Sauce ,3.75,1100,159,32,1292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5
"Colombian Chicken, Corn, and Potato Stew ",3.75,1228,68,74,1364,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.25
"Chicken, Ham, and Tarragon Pie ",3.125,736,12,50,413,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5
Chicken and Couscous with a Punchy Relish ,2.5,1419,97,87,728,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.75
Broiled Chicken with Bacon Over Egg Fried Rice ,2.5,1016,53,67,480,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.25